API_Database_android.database.sqlite.SQLiteDatabase_execSQL,API_Database_android.database.sqlite.SQLiteDatabase_query,API_IPC_android.content.ContextWrapper_sendBroadcast,Network_TotalReceivedBytes,Network_TotalTransmittedBytes,Battery_wakelock,Logcat_error,Logcat_total,API_DexClassLoader_dalvik.system.DexFile_loadDex,API_SystemManager_android.content.BroadcastReceiver_abortBroadcast,API_SMS_android.telephony.SmsManager_sendTextMessage,API_SMS_android.telephony.SmsManager_sendMultipartTextMessage,API_DeviceInfo_android.telephony.TelephonyManager_getDeviceId,API_DeviceInfo_android.net.wifi.WifiInfo_getMacAddress,API_DeviceInfo_android.telephony.TelephonyManager_getSubscriberId,Memory_PssTotal,Memory_OpenSSLSockets,Memory_LocalBinders,Memory_Views,API_Database_android.content.ContextWrapper_deleteDatabase,API_FileIO_android.content.ContextWrapper_openFileOutput,API_Database_android.content.ContextWrapper_openOrCreateDatabase,type,before
0,0,0,0,0,3,1354,16166,0,0,0,0,0,0,84,35364,0,8,6,0,0,0,Ransomware,1
0,0,0,0,0,2,635,8923,0,1,0,0,0,0,0,61019,0,23,78,0,0,0,Ransomware,1
0,0,0,0,0,2,2910,11910,0,1,0,0,0,0,0,47685,0,10,19,0,0,0,Ransomware,1
0,0,0,0,0,4,970,12263,0,0,0,0,2,0,0,71919,0,18,294,0,0,0,Ransomware,1
0,0,0,0,0,3,1518,13191,0,1,25,0,0,0,0,51809,0,14,31,0,0,0,Ransomware,1
0,0,0,0,0,3,1518,14027,0,1,0,0,0,0,0,43432,0,10,38,0,0,0,Ransomware,1
0,0,0,0,0,3,2139,9899,0,1,0,0,0,0,0,50948,0,18,117,0,0,0,Ransomware,1
0,0,0,0,0,1,1300,13864,0,1,0,0,0,0,0,51839,0,9,38,0,0,0,Ransomware,1
0,0,0,0,0,3,7376,16923,0,0,0,0,0,0,0,31604,0,2,0,0,0,0,Ransomware,1
0,0,0,0,0,1,952,12967,0,1,0,0,0,0,0,46502,0,9,19,0,0,0,Ransomware,1
0,0,0,0,0,2,1766,10947,0,1,0,0,0,0,0,57405,0,14,27,0,0,0,Ransomware,1
0,0,0,0,0,3,1108,14253,0,1,0,0,0,0,0,48911,0,10,19,0,0,0,Ransomware,1
0,0,0,0,0,2,1483,10923,0,1,0,0,0,0,0,48720,0,10,21,0,0,0,Ransomware,1
0,0,0,0,0,3,6275,13888,0,1,0,0,0,0,0,48517,0,10,38,0,0,0,Ransomware,1
0,0,0,0,0,2,2092,13656,0,0,0,0,0,0,0,42217,0,9,4,0,0,0,Ransomware,1
0,0,0,0,0,3,1512,9455,0,1,0,0,0,0,0,46960,0,10,19,0,0,0,Ransomware,1
0,0,0,0,0,3,761,11368,0,0,0,0,0,0,0,72461,0,35,216,0,0,0,Ransomware,1
0,0,0,0,0,4,1517,9977,0,0,0,0,2,0,0,83089,0,18,237,0,0,0,Ransomware,1
0,0,0,0,0,2,1982,12930,0,1,0,0,0,0,0,48964,0,11,38,0,0,0,Ransomware,1
